id,area,title,user_story,expected_behavior,entry_points,source_files,platforms,edition,notes,status,phase,error_class,error_detail,test_method,tested_at,retest_status,retest_at,fix_notes
CHROME-001,chrome,Open file from File menu or Ctrl+O,As an analyst I want to open a log file so I can inspect it in the active workspace.,File > Open File or Ctrl/Cmd+O opens a native file dialog using the active workspace fileFilters and actionLabels.file. Selected path is handed to the workspace onOpenSource or the generic log loader.,File menu; Ctrl/Cmd+O,src-tauri/src/menu.rs; src/hooks/use-app-actions.ts; src/hooks/use-keyboard.ts,all,both,Toolbar Open menu shows Open file... (native dialog not invoked).,partial,retest,coverage,"Current exact-head suite ran, but no focused current browser/component scenario covers the full user behavior.",ui,2026-08-18T19:17:47Z,partial,2026-08-18T19:17:47Z,No confirmed defect or remediation required; current behavior retained.
CHROME-002,chrome,Open folder from File menu,As an analyst I want to open a folder of logs so sibling files load as a source.,File > Open Folder opens a directory picker. Folder is listed in the sidebar and parsed according to the active workspace.,File menu; Toolbar Open menu,src-tauri/src/menu.rs; src/hooks/use-app-actions.ts; src/components/layout/Toolbar.tsx,all,both,Toolbar Open menu shows Open folder... (native dialog not invoked).,partial,retest,coverage,"Current exact-head suite ran, but no focused current browser/component scenario covers the full user behavior.",ui,2026-08-18T19:17:47Z,partial,2026-08-18T19:17:47Z,No confirmed defect or remediation required; current behavior retained.
CHROME-003,chrome,Open known log sources,As an analyst I want catalogued Intune/CM paths so I do not hunt for default locations.,File > Known Sources and the toolbar known-source menu list families and sources from get_known_log_sources. Unavailable sources are disabled. Selecting one loads that path and clears the filter.,File > Known Sources; Toolbar known-source menu,src-tauri/src/menu.rs; src/components/layout/Toolbar.tsx; src/lib/log-source.ts,all,both,"Disabled when workspace.capabilities.knownSources is false (dsregcmd, secureboot, sccm). event-log only sets sidebar: false, so the known-source menu stays enabled. | Known sources button disabled when catalog empty.",partial,retest,coverage,"Current exact-head suite ran, but no focused current browser/component scenario covers the full user behavior.",ui,2026-08-18T19:17:47Z,partial,2026-08-18T19:17:47Z,No confirmed defect or remediation required; current behavior retained.
CHROME-004,chrome,Open recent files and clear recents,As an analyst I want recent files so I can resume the last case.,File > Recent lists persisted recents. Selecting one reopens that path in the recorded workspace. Clear Recent empties the list.,File > Recent; File > Clear Recent,src-tauri/src/menu.rs; src/lib/recent-entries.ts; src-tauri/src/commands/recent_entries.rs,all,both,recent-entries + menu reopen/clear tests.,pass,retest,none,No confirmed defect in current verification.,existing_test,2026-08-18T19:17:47Z,retest_pass,2026-08-18T19:17:47Z,No confirmed defect or remediation required; current behavior retained.
CHROME-005,chrome,Save and restore a session,As an analyst I want to save open tabs and filters so I can resume later.,"File > Save Session writes a .cmtrace file. File > Open Session restores tabs, workspace, and filter state from that file.",File > Save Session (Shift+Cmd/Ctrl+S); File > Open Session,src/lib/session-save.ts; src/lib/session-restore.ts; src-tauri/src/menu.rs,all,both,session-save/restore unit tests.,pass,retest,none,No confirmed defect in current verification.,existing_test,2026-08-18T19:17:47Z,retest_pass,2026-08-18T19:17:47Z,No confirmed defect or remediation required; current behavior retained.
CHROME-006,chrome,Restart as administrator,As a Windows analyst I want to relaunch elevated so protected sources become readable.,File > Restart as Administrator is Windows-only and disabled when already elevated. It opens RestartAsAdministratorDialog. Confirm calls restart_as_administrator and leaves the dialog pending until launch; cancel/Esc closes without relaunch.,File > Restart as Administrator; Access Denied recovery,src-tauri/src/menu.rs; src/components/dialogs/RestartAsAdministratorDialog.tsx; src/lib/elevation.ts,windows,both,Restart-as-admin dialog + elevation helpers (vitest).,partial,retest,coverage,Native platform behavior is unavailable on this macOS host; automated coverage is contract/component-level.,existing_test,2026-08-18T19:17:47Z,partial,2026-08-18T19:17:47Z,No confirmed defect or remediation required; current behavior retained.
CHROME-007,chrome,"Find, find next, find previous",As an analyst I want incremental search so I can jump between matching lines.,"Ctrl/Cmd+F or Edit > Find opens FindBar when the workspace has findBar. Match case and regex toggles. Enter/F3 next, Shift+Enter/Shift+F3 previous. Esc closes. Invalid regex shows an error; no matches show No results.",Ctrl/Cmd+F; F3; Shift+F3; Edit menu; FindBar,src/components/layout/FindBar.tsx; src/hooks/use-keyboard.ts; src-tauri/src/menu.rs,all,both,Most specialist workspaces set findBar false. | FindBar opened from store; regex toggle visible.,partial,retest,coverage,"Current exact-head suite ran, but no focused current browser/component scenario covers the full user behavior.",ui,2026-08-18T19:17:47Z,partial,2026-08-18T19:17:47Z,"Find next/prev covered by use-app-actions and log-store tests. Browser Cmd+F walk was inconclusive (no FindBar landmark), not a confirmed product defect."
CHROME-008,chrome,Filter dialog,As an analyst I want AND field/op/value filters so I can hide noise.,"Ctrl+Shift+L or Filter... opens FilterDialog. Clauses: Log Text/Component/Thread/Date/Time/Severity with equals/not/contains/not/before/after. Apply calls apply_filter. Clear removes all clauses. Toolbar shows Filter (N) and click clears when active. Open surface is a dialog landmark (role=dialog, aria-modal, aria-label Filter).",Toolbar Filter; Ctrl+Shift+L; Edit > Filter; row context Include/Exclude,src/components/dialogs/FilterDialog.tsx; src/stores/filter-store.ts; src/components/layout/Toolbar.tsx,all,both,filter-store clause set/clear.,pass,retest,none,No confirmed defect in current verification.,focused_test,2026-08-18T19:17:47Z,retest_pass,2026-08-18T19:17:47Z,"Added role=dialog aria-modal aria-label=""Filter"" on FilterDialog surface."
CHROME-009,chrome,"Toggle sidebar, details, and info pane",As an analyst I want to hide chrome so the list has more room.,Ctrl+B toggles sidebar. Ctrl+H (Ctrl not Cmd on macOS) toggles extra columns. Info button toggles the bottom info pane. View menu mirrors these. Workspaces with sidebar/details/info false leave the toggles inert.,View menu; Toolbar Details/Info; Ctrl+B; Ctrl+H,src/hooks/use-keyboard.ts; src/components/layout/Toolbar.tsx; src/stores/ui-store.ts; src-tauri/src/menu.rs,all,both,Details/Info toggle updates status to Details off / Info off.,partial,retest,coverage,"Current exact-head suite ran, but no focused current browser/component scenario covers the full user behavior.",ui,2026-08-18T19:17:47Z,partial,2026-08-18T19:17:47Z,No confirmed defect or remediation required; current behavior retained.
CHROME-010,chrome,Always on top,As an analyst I want the window pinned above other apps while I follow a live log.,View > Always on Top persists and calls set_always_on_top. One stable native listener forwards events to the latest rendered handler. Startup restoration and user toggles share one serialized native-update queue so an older completion cannot overwrite newer intent.,View > Always on Top,src-tauri/src/menu.rs; src/stores/ui-store.ts; src/hooks/use-app-menu.ts; src-tauri/src/commands/system_preferences.rs,all,both,"Focused regressions prove one listener lifetime, latest-handler dispatch, startup/toggle serialization, and rejection recovery. Native Tauri menu/window lifecycle and real topmost behavior remain platform acceptance.",partial,retest,coverage,Mocked frontend contracts pass; native window/menu lifecycle and real always-on-top behavior were not observed.,focused_test+source_review,2026-08-22T23:35:15Z,partial,2026-08-22T23:35:15Z,Replaced listener re-registration and competing writes with a stable callback ref and one serialized Always-on-Top queue. Tests: src/hooks/use-app-menu.test.tsx.
